ED,YEAR,ELECTION,CANDIDATE,PARTY,Value
FIL 29 (30),2021,Primary,Byron W. Brown,Democratic,101
FIL 31,2021,Primary,Byron W. Brown,Democratic,24
FIL 32 (33) ,2021,Primary,Byron W. Brown,Democratic,36
NIA 19 (25),2021,Primary,Byron W. Brown,Democratic,142
ELL 2 (FIL 5),2021,Primary,India B. Walton,Democratic,120
"ELL 3 (8, 9)",2021,Primary,India B. Walton,Democratic,118
ELL 14 ,2021,Primary,India B. Walton,Democratic,44
ELL 15 (FIL 1),2021,Primary,India B. Walton,Democratic,134
ELL 16,2021,Primary,India B. Walton,Democratic,36
ELL 18 (FIL 3),2021,Primary,India B. Walton,Democratic,72
"ELL 24 (FIL 2, 4, 6, 7)",2021,Primary,India B. Walton,Democratic,203
ELL 25 (26),2021,Primary,India B. Walton,Democratic,90
"ELL 29 (30, 31)",2021,Primary,India B. Walton,Democratic,143
ELL 33 (FIL 8),2021,Primary,India B. Walton,Democratic,86
"ELL 34 (35, 36)",2021,Primary,India B. Walton,Democratic,85
"FIL 9 (LOV 6, 7)",2021,Primary,India B. Walton,Democratic,81
"FIL 10 (15, 18)",2021,Primary,India B. Walton,Democratic,85
FIL 11 (35),2021,Primary,India B. Walton,Democratic,70
FIL 12 (13),2021,Primary,India B. Walton,Democratic,46
FIL 14 (16),2021,Primary,India B. Walton,Democratic,42
FIL 17 (LOV 23)    ,2021,Primary,India B. Walton,Democratic,11
FIL 19,2021,Primary,India B. Walton,Democratic,19
"FIL 20 (22, 34)",2021,Primary,India B. Walton,Democratic,53
FIL 21 (24),2021,Primary,India B. Walton,Democratic,26
"FIL 23 (26, 27)",2021,Primary,India B. Walton,Democratic,36
FIL 25 (28),2021,Primary,India B. Walton,Democratic,39
FIL 29 (30),2021,Primary,India B. Walton,Democratic,53
FIL 31,2021,Primary,India B. Walton,Democratic,24
FIL 32 (33) ,2021,Primary,India B. Walton,Democratic,42
NIA 19 (25),2021,Primary,India B. Walton,Democratic,243
ELL 2 (FIL 5),2021,Primary,Le'Candice M. Durham,Democratic,1
"ELL 3 (8, 9)",2021,Primary,Le'Candice M. Durham,Democratic,3
ELL 14 ,2021,Primary,Le'Candice M. Durham,Democratic,1
ELL 15 (FIL 1),2021,Primary,Le'Candice M. Durham,Democratic,0
ELL 16,2021,Primary,Le'Candice M. Durham,Democratic,1
ELL 18 (FIL 3),2021,Primary,Le'Candice M. Durham,Democratic,5
"ELL 24 (FIL 2, 4, 6, 7)",2021,Primary,Le'Candice M. Durham,Democratic,4
ELL 25 (26),2021,Primary,Le'Candice M. Durham,Democratic,7
"ELL 29 (30, 31)",2021,Primary,Le'Candice M. Durham,Democratic,15
ELL 33 (FIL 8),2021,Primary,Le'Candice M. Durham,Democratic,4
"ELL 34 (35, 36)",2021,Primary,Le'Candice M. Durham,Democratic,3
"FIL 9 (LOV 6, 7)",2021,Primary,Le'Candice M. Durham,Democratic,9
"FIL 10 (15, 18)",2021,Primary,Le'Candice M. Durham,Democratic,10
FIL 11 (35),2021,Primary,Le'Candice M. Durham,Democratic,8
FIL 12 (13),2021,Primary,Le'Candice M. Durham,Democratic,2
FIL 14 (16),2021,Primary,Le'Candice M. Durham,Democratic,5
FIL 17 (LOV 23)    ,2021,Primary,Le'Candice M. Durham,Democratic,2
FIL 19,2021,Primary,Le'Candice M. Durham,Democratic,3
"FIL 20 (22, 34)",2021,Primary,Le'Candice M. Durham,Democratic,8
FIL 21 (24),2021,Primary,Le'Candice M. Durham,Democratic,1
"FIL 23 (26, 27)",2021,Primary,Le'Candice M. Durham,Democratic,6
FIL 25 (28),2021,Primary,Le'Candice M. Durham,Democratic,4
FIL 29 (30),2021,Primary,Le'Candice M. Durham,Democratic,8
FIL 31,2021,Primary,Le'Candice M. Durham,Democratic,2
FIL 32 (33) ,2021,Primary,Le'Candice M. Durham,Democratic,6
