OBJECTID,GEOID20,ED,FIL,nbhdname,Total Population,White,Black,American Indian,Asian,Native Hawaiian,Some Other,Two or More,Hispanic
822,360290068023001,FIL-001,FIL-001,Allentown,151,129,5,3,3,0,2,9,6
823,360290165002010,ELL-024,FIL-006,Central,0,0,0,0,0,0,0,0,0
824,360290071021007,FIL-007,FIL-007,Central,0,0,0,0,0,0,0,0,0
827,360290071042004,ELL-035,FIL-005,Lower West Side,92,27,16,0,0,0,33,16,65
828,360290071042005,ELL-035,FIL-005,Lower West Side,18,2,1,2,0,0,7,6,14
832,360290163002002,FIL-019,FIL-019,Lovejoy,0,0,0,0,0,0,0,0,0
835,360290163002001,FIL-019,FIL-019,Lovejoy,0,0,0,0,0,0,0,0,0
841,360290016021029,FIL-021,FIL-021,Broadway Fillmore,11,0,2,0,1,0,1,7,4
842,360290017001018,FIL-019,FIL-019,Broadway Fillmore,56,46,3,0,0,0,4,3,1
843,360290027043001,FIL-027,FIL-027,Broadway Fillmore,95,12,9,0,70,1,0,3,2
844,360290015001028,FIL-018,FIL-018,Broadway Fillmore,10,7,0,0,0,0,0,3,1
845,360290016021014,FIL-023,FIL-023,Broadway Fillmore,70,16,39,0,11,0,3,1,10
847,360290166001004,FIL-034,FIL-034,Broadway Fillmore,95,0,81,0,6,0,0,8,0
849,360290027031011,FIL-027,FIL-027,Broadway Fillmore,148,2,14,0,117,0,9,6,6
850,360290027031014,FIL-027,FIL-027,Broadway Fillmore,284,39,101,1,136,0,0,7,3
851,360290015002012,FIL-020,FIL-020,Broadway Fillmore,19,2,17,0,0,0,0,0,2
852,360290005001014,FIL-013,FIL-013,First Ward,22,17,3,0,0,0,0,2,6
853,360290005002010,FIL-013,FIL-013,First Ward,14,10,0,0,0,0,1,3,2
855,360290164005004,FIL-015,FIL-015,Ellicott,64,42,1,0,0,0,4,17,18
860,360290005001024,FIL-008,FIL-037,First Ward,5,0,2,0,0,0,0,3,4
909,360290165002006,ELL-025,FIL-010,Central,70,51,7,0,9,0,2,1,3
912,360290164002021,FIL-018,FIL-018,Ellicott,47,20,3,0,0,0,20,4,22
916,360290017002000,FIL-018,FIL-018,Broadway Fillmore,64,39,2,0,13,0,5,5,9
971,360290067023001,ELL-016,FIL-003,Elmwood Bryant,457,346,62,0,26,0,4,19,10
972,360290067021004,ELL-009,FIL-031,Elmwood Bryant,71,29,21,0,0,0,6,15,6
975,360290067023000,ELL-016,FIL-003,Elmwood Bryant,297,167,78,2,26,0,10,14,33
1033,360290165002011,ELL-024,FIL-006,Central,40,30,6,0,0,0,0,4,2
1036,360290005001016,FIL-013,FIL-013,First Ward,35,30,1,0,0,0,0,4,8
1039,360290005001020,FIL-013,FIL-013,First Ward,86,72,5,0,0,0,7,2,10
1043,360290028011004,FIL-028,FIL-028,Genesee-Moselle,108,8,74,0,12,0,10,4,18
1044,360290028011001,FIL-028,FIL-028,Genesee-Moselle,270,48,183,5,30,0,2,2,7
1046,360290163002009,FIL-017,FIL-017,Seneca Babcock,11,3,6,0,0,0,1,1,0
1047,360290164004002,FIL-015,FIL-015,Ellicott,0,0,0,0,0,0,0,0,0
1048,360290163002011,FIL-017,FIL-017,Seneca Babcock,32,7,13,0,3,0,3,6,5
1053,360290163001004,FIL-019,FIL-019,Seneca Babcock,47,28,5,0,5,0,2,7,14
1079,360290017002001,FIL-018,FIL-018,Broadway Fillmore,11,0,4,2,3,0,0,2,4
1081,360290028011000,FIL-028,FIL-028,Genesee-Moselle,129,14,71,0,21,0,11,12,12
1088,360290165001097,FIL-008,FIL-007,Central,0,0,0,0,0,0,0,0,0
1096,360290005002000,FIL-013,FIL-013,First Ward,66,58,0,0,0,0,0,8,8
1102,360290072021010,FIL-008,FIL-008,Central,17,4,5,0,2,0,0,6,12
1103,360290068021005,FIL-001,FIL-001,Allentown,170,81,69,2,2,0,10,6,28
1104,360290068022007,FIL-004,FIL-002,Allentown,109,82,5,5,0,0,5,12,14
1117,360290165001063,FIL-010,FIL-010,Central,0,0,0,0,0,0,0,0,0
1118,360290165001066,FIL-010,FIL-010,Central,101,77,7,2,7,0,0,8,3
1119,360290165001075,FIL-010,FIL-010,Central,0,0,0,0,0,0,0,0,0
1120,360290165001032,ELL-029,FIL-010,Central,18,12,2,0,0,0,0,4,6
1121,360290165001042,ELL-029,FIL-010,Central,248,193,13,0,21,0,9,12,20
1155,360290015001018,FIL-018,FIL-018,Broadway Fillmore,24,6,9,1,6,0,2,0,2
1156,360290015001022,FIL-018,FIL-018,Broadway Fillmore,15,5,8,0,0,0,0,2,1
1157,360290015001019,FIL-018,FIL-018,Broadway Fillmore,5,1,3,0,0,0,0,1,0
1158,360290164002001,FIL-018,FIL-018,Ellicott,24,4,16,0,2,0,0,2,2
1173,360290029003003,FIL-011,FIL-011,Genesee-Moselle,109,3,61,0,40,0,4,1,0
1176,360290029003002,FIL-011,FIL-011,Genesee-Moselle,75,3,56,0,0,0,16,0,2
1177,360290028021011,FIL-032,FIL-032,Genesee-Moselle,66,6,28,0,23,0,5,4,6
1178,360290028021012,FIL-032,FIL-032,Genesee-Moselle,28,3,18,0,0,0,5,2,10
1201,360290016021028,FIL-024,FIL-024,Broadway Fillmore,20,4,11,0,1,0,1,3,1
1202,360290017002007,FIL-018,FIL-039,Broadway Fillmore,19,13,2,0,3,0,0,1,1
1203,360290163001001,FIL-019,FIL-019,Seneca Babcock,15,11,1,0,0,0,3,0,11
1204,360290017001017,FIL-019,FIL-019,Broadway Fillmore,129,96,11,0,0,0,7,15,24
1205,360290027042000,FIL-027,FIL-027,Broadway Fillmore,19,3,0,0,4,0,1,11,8
1206,360290016011003,FIL-024,FIL-024,Broadway Fillmore,126,12,78,0,24,3,0,9,7
1207,360290017001002,FIL-019,FIL-019,Broadway Fillmore,39,21,16,0,0,0,0,2,5
1208,360290024005007,FIL-025,FIL-025,Lovejoy,54,11,29,0,5,0,4,5,8
1209,360290024005010,FIL-025,FIL-025,Lovejoy,86,22,22,2,32,0,5,3,10
1210,360290017002021,FIL-020,FIL-020,Broadway Fillmore,22,7,13,0,0,0,0,2,3
1211,360290015001029,FIL-018,FIL-018,Broadway Fillmore,11,6,3,1,0,0,0,1,1
1212,360290016021021,FIL-022,FIL-022,Broadway Fillmore,13,1,10,0,0,0,0,2,1
1213,360290017002004,FIL-018,FIL-039,Broadway Fillmore,12,3,0,0,0,0,6,3,6
1214,360290016021016,FIL-023,FIL-023,Broadway Fillmore,51,9,35,0,3,0,2,2,4
1216,360290166001005,FIL-034,FIL-034,Broadway Fillmore,142,0,135,0,1,0,0,6,3
1229,360290071021009,FIL-007,FIL-007,Central,0,0,0,0,0,0,0,0,0
1230,360290072021020,FIL-007,FIL-008,Central,0,0,0,0,0,0,0,0,0
1251,360290016021030,FIL-021,FIL-021,Broadway Fillmore,55,12,23,0,7,0,10,3,16
1252,360290016011004,FIL-021,FIL-021,Broadway Fillmore,0,0,0,0,0,0,0,0,0
1253,360290017002014,FIL-018,FIL-039,Broadway Fillmore,69,38,17,1,1,0,5,7,7
1254,360290163001002,FIL-019,FIL-019,Seneca Babcock,24,12,3,0,0,0,6,3,8
1255,360290017001011,FIL-019,FIL-019,Broadway Fillmore,72,42,16,0,4,0,3,7,7
1256,360290017001004,FIL-019,FIL-019,Broadway Fillmore,49,32,9,0,1,0,0,7,0
1257,360290016011000,FIL-019,FIL-000,Lovejoy,2,1,1,0,0,0,0,0,1
1258,360290017001010,FIL-019,FIL-019,Broadway Fillmore,90,65,11,0,1,0,3,10,6
1259,360290016011001,FIL-025,FIL-021,Broadway Fillmore,0,0,0,0,0,0,0,0,0
1260,360290017001016,FIL-019,FIL-019,Broadway Fillmore,107,61,28,0,0,0,11,7,16
1261,360290027042005,FIL-027,FIL-027,Broadway Fillmore,139,7,4,0,100,0,7,21,20
1264,360290027042004,FIL-027,FIL-027,Broadway Fillmore,127,9,4,0,102,0,2,10,5
1265,360290027043003,FIL-027,FIL-027,Broadway Fillmore,188,44,43,3,91,0,1,6,14
1266,360290027043002,FIL-027,FIL-027,Broadway Fillmore,149,8,38,0,97,0,2,4,0
1267,360290027042002,FIL-027,FIL-027,Broadway Fillmore,113,27,45,2,29,0,4,6,6
1268,360290027042001,FIL-027,FIL-027,Broadway Fillmore,82,10,7,0,65,0,0,0,0
1269,360290027043000,FIL-027,FIL-027,Broadway Fillmore,74,3,18,0,43,0,3,7,4
1270,360290017001009,FIL-019,FIL-019,Broadway Fillmore,78,56,18,0,0,0,0,4,3
1271,360290016011012,FIL-024,FIL-024,Broadway Fillmore,123,1,62,0,42,0,4,14,7
1272,360290016011022,FIL-024,FIL-024,Broadway Fillmore,39,6,10,1,9,0,6,7,13
1273,360290016011007,FIL-021,FIL-021,Broadway Fillmore,62,1,46,0,7,2,1,5,5
1274,360290016011008,FIL-021,FIL-021,Broadway Fillmore,72,9,58,1,0,1,0,3,4
1275,360290016011009,FIL-021,FIL-021,Broadway Fillmore,18,1,11,0,0,0,0,6,5
1276,360290016011006,FIL-021,FIL-021,Broadway Fillmore,94,16,64,0,6,0,8,0,15
1277,360290028011008,FIL-028,FIL-028,Genesee-Moselle,52,4,31,1,10,0,5,1,7
1278,360290016011019,FIL-025,FIL-025,Broadway Fillmore,105,34,46,1,13,0,1,10,7
1279,360290028011006,FIL-028,FIL-028,Genesee-Moselle,58,1,44,1,1,0,2,9,4
1280,360290016011020,FIL-025,FIL-025,Broadway Fillmore,82,5,26,0,42,0,2,7,10
1281,360290016011018,FIL-025,FIL-025,Broadway Fillmore,88,7,21,0,35,18,0,7,7
1282,360290024005006,FIL-025,FIL-025,Lovejoy,30,11,14,2,0,0,0,3,2
1283,360290024005008,FIL-025,FIL-025,Lovejoy,21,9,3,0,8,0,0,1,4
1284,360290024005009,FIL-025,FIL-025,Lovejoy,74,22,26,2,5,0,13,6,21
1285,360290024005015,FIL-025,FIL-025,Lovejoy,66,16,36,1,0,0,2,11,14
1286,360290024005014,FIL-025,FIL-025,Lovejoy,86,16,38,1,11,0,18,2,25
1287,360290024005013,FIL-025,FIL-025,Lovejoy,51,13,21,2,5,0,4,6,7
1304,360290005002013,FIL-013,FIL-013,First Ward,124,105,1,0,0,0,8,10,12
1305,360290164002036,FIL-015,FIL-015,Ellicott,0,0,0,0,0,0,0,0,0
1306,360290071041002,ELL-035,FIL-005,Lower West Side,59,21,13,2,8,0,8,7,19
1310,360290071041004,ELL-035,FIL-005,Lower West Side,23,11,2,1,0,1,0,8,15
1311,360290071041003,ELL-035,FIL-005,Lower West Side,135,32,12,1,7,0,56,27,85
1312,360290071042003,ELL-035,FIL-005,Lower West Side,100,25,14,2,22,0,19,18,43
1313,360290071021008,FIL-007,FIL-007,Central,0,0,0,0,0,0,0,0,0
1314,360290068022000,ELL-002,FIL-002,Allentown,77,53,5,0,1,0,8,10,10
1315,360290071041000,FIL-005,FIL-002,Lower West Side,106,75,15,2,0,1,4,9,22
1316,360290068022001,ELL-002,FIL-002,Allentown,102,77,2,4,3,0,8,8,18
1355,360290029003000,FIL-011,FIL-011,Genesee-Moselle,95,3,83,1,1,0,1,6,6
1356,360290029002002,FIL-011,FIL-011,Genesee-Moselle,46,4,33,0,7,0,1,1,2
1357,360290029002003,FIL-011,FIL-011,Genesee-Moselle,14,2,7,0,0,0,1,4,2
1358,360290028021006,FIL-032,FIL-032,Genesee-Moselle,17,9,4,0,2,0,2,0,6
1359,360290029002001,FIL-011,FIL-011,Genesee-Moselle,70,0,49,0,7,0,10,4,11
1360,360290028021004,FIL-032,FIL-032,Genesee-Moselle,62,2,35,0,9,0,6,10,7
1362,360290029002000,FIL-011,FIL-011,Genesee-Moselle,66,2,54,0,5,0,4,1,4
1413,360290164002000,FIL-018,FIL-018,Ellicott,18,10,4,0,0,0,0,4,4
1421,360290028021015,FIL-032,FIL-032,Genesee-Moselle,99,32,39,2,17,0,9,0,11
1423,360290164005003,FIL-013,FIL-013,Ellicott,26,21,0,0,2,0,3,0,5
1430,360290071041001,ELL-035,FIL-005,Lower West Side,103,13,27,1,0,0,34,28,73
1431,360290068022006,FIL-002,FIL-002,Allentown,68,57,2,0,3,0,5,1,7
1432,360290016011010,FIL-021,FIL-021,Broadway Fillmore,72,32,15,0,16,0,0,9,10
1434,360290016021027,FIL-024,FIL-024,Broadway Fillmore,65,8,46,0,6,0,5,0,5
1435,360290016021002,FIL-023,FIL-023,Broadway Fillmore,0,0,0,0,0,0,0,0,0
1439,360290028012000,FIL-028,FIL-028,Genesee-Moselle,211,39,94,2,51,0,9,16,10
1447,360290068022002,ELL-002,FIL-002,Allentown,124,76,13,9,0,0,9,17,26
1448,360290165001073,FIL-007,FIL-007,Central,3,0,0,0,0,0,2,1,0
1463,360290068022003,FIL-002,FIL-002,Allentown,106,83,3,0,0,0,14,6,25
1482,360290015001020,FIL-018,FIL-018,Broadway Fillmore,22,3,18,0,0,0,1,0,0
1495,360290165001051,ELL-029,FIL-010,Central,0,0,0,0,0,0,0,0,0
1499,360290165001018,ELL-024,FIL-010,Central,0,0,0,0,0,0,0,0,0
1500,360290165001012,ELL-025,FIL-010,Central,6,2,0,0,0,0,1,3,2
1501,360290165001072,FIL-007,FIL-010,Central,3,2,0,0,0,0,0,1,3
1503,360290005001021,FIL-013,FIL-013,First Ward,36,31,0,0,0,0,0,5,7
1504,360290017002005,FIL-018,FIL-039,Broadway Fillmore,55,29,12,0,1,0,10,3,16
1507,360290068023002,FIL-002,FIL-002,Allentown,85,73,4,0,3,0,0,5,7
1525,360290165001093,FIL-000,FIL-010,Central,0,0,0,0,0,0,0,0,0
1526,360290165001022,ELL-025,FIL-010,Central,15,7,3,0,1,0,0,4,1
1527,360290165001101,FIL-010,FIL-010,Central,0,0,0,0,0,0,0,0,0
1528,360290165001058,FIL-007,FIL-007,Central,0,0,0,0,0,0,0,0,0
1536,360290017001014,FIL-019,FIL-019,Broadway Fillmore,85,47,25,0,1,0,2,10,4
1539,360290163001012,FIL-019,FIL-019,Seneca Babcock,0,0,0,0,0,0,0,0,0
1540,360290024005017,FIL-025,FIL-021,Lovejoy,0,0,0,0,0,0,0,0,0
1667,360290072021000,ELL-034,FIL-008,Central,0,0,0,0,0,0,0,0,0
1668,360290072021018,FIL-007,FIL-007,Central,0,0,0,0,0,0,0,0,0
