jurisdiction,righttoaddress,rightfromaddress,lefttoaddress,leftfromaddress,nysstreetid,objectid,highwaynumber,leftpostal,shape_length,rightpostal,fcc,acc,completestreetname,speed
12,165,93,166,96,477796459,10971,,14206,237.67024908401913,14206,A41,5,Baitz Avenue,25
14,,,,,484722967,10537,,14210,94.243305834380052,14210,A74,5,Driveway,15
12,199,99,198,98,477791822,6487,,14212,76.686377538667998,14212,A41,5,Kent Street,25
12,29,1,30,2,477792364,7817,,14202,92.831162402544791,14202,A41,5,West Chippewa Street,25
12,53,31,66,32,477793321,6647,,14206,109.51406937680454,14206,A31,4,Memorial Drive,35
12,199,99,198,100,477791276,6439,,14212,136.43070651947366,14212,A41,5,Young Street,25
12,,,,,477795146,9919,,14202,8.964290267443749,14202,A41,5,Perry Boulevard,25
12,181,117,178,124,477787292,1329,,14211,188.02046042609203,14211,A41,5,Burgard Place,25
12,145,1,146,2,477788014,8320,,14222,465.53929930720835,14222,A40,5,Ashland Avenue,25
12,199,17,198,12,477791281,1008,,14212,279.7575324212026,14212,A41,5,Deshler Street,25
12,99,1,98,2,477796106,743,,14206,150.00489874548919,14206,A41,5,Peru Place,25
12,125,115,128,122,477797236,10231,,14204,43.629889984473778,14204,A41,5,Chicago Street,25
12,85,1,86,2,477788424,6397,,14211,268.16876029888039,14211,A41,5,Bissell Avenue,25
12,197,167,,,477798679,10536,,14210,66.637506705753992,14210,A41,5,Katherine Street,25
12,97,23,90,28,477791889,6531,,14212,194.22855531615809,14212,A41,5,Krupp Avenue,25
12,293,157,284,148,477790518,6814,,14211,457.96032128799141,14211,A41,4,Herman Street,25
12,47,1,50,2,477791707,998,,14212,143.97784065664189,14212,A41,5,Swinburne Street,25
12,99,1,98,2,477792373,6509,,14212,103.31082087748371,14212,A41,5,Hilton Street,25
12,199,79,198,76,477789048,6408,,14211,221.13979311757282,14211,A40,5,Gittere Street,25
12,,,,,600049296,9189,,14201,42.754467754349115,14201,A62,5,Dar Drive,15
12,31,1,36,2,477794446,6559,,14206,109.55246596953469,14206,A41,5,Lyman Street,25
12,93,1,88,2,477790265,7862,,14201,290.67485369391858,14201,A31,4,Elmwood Avenue,35
12,121,1,120,2,477792185,7756,,14201,211.15657599914363,14201,A40,4,Prospect Avenue,25
12,177,1,174,2,477792449,6591,,14212,258.94332236993586,14212,A40,5,Playter Street,25
12,280,398,278,218,477794048,9265,,14202,145.86688173356339,14202,A41,5,Rivermist Drive,25
12,999,891,998,890,477795855,10904,,14210,74.177921166932251,14210,A41,5,South Division Street,25
01,847,839,846,838,477791863,6801,954L,14212,37.445113165837014,14212,A31,3,Broadway,35
12,199,1,198,2,477792380,6508,,14212,93.491821993779297,14212,A41,5,Bryson Street,25
12,99,21,98,16,477787177,1357,,14211,76.193864582405226,14211,A41,5,Lansdale Place,25
12,285,247,284,246,477794488,6711,,14206,137.07076785370725,14206,A41,5,Bristol Street,25
12,99,1,98,2,477789467,8013,,14201,173.16235320814769,14201,A40,5,Saint Johns Place,25
12,199,1,198,2,477791621,7885,,14201,67.011263382064584,14201,A41,5,Johnson Park,25
12,,,,,510092565,9962,,14202,67.649952697634262,14202,A40,5,Lower Terrace,25
12,51,1,52,2,477794344,6554,,14206,142.45980063339579,14206,A41,5,Holt Street,25
12,407,181,406,182,477794361,7621,,14202,36.775175132542543,14202,A41,5,Gull Landing,25
12,99,1,98,2,477791506,6491,,14212,174.41587279432525,14212,A40,5,Brighton Avenue,25
12,299,219,298,220,477794546,10885,,14206,150.23228681686669,14206,A41,5,Oneida Street,25
12,159,137,160,154,477827557,7902,,14201,54.213438370901095,14201,A30,3,Virginia Street,35
12,281,245,280,242,477789658,9083,,14201,108.45217609618301,14201,A30,4,Pennsylvania Street,35
12,165,105,172,108,477792820,6630,,14212,197.34656748919059,14212,A40,5,Townsend Street,25
12,,,,,477795222,9878,,14202,14.494959609355629,14202,A31,5,Marine Drive,35
12,35,1,34,2,477790032,8981,,14201,148.32722746580637,14201,A41,5,Corral Drive,25
12,99,1,198,2,477796838,10994,,14206,178.48465368152318,14206,A40,5,Kirkover Street,25
12,,,,,477797427,10687,,14210,11.874919052524238,14210,A41,5,Selkirk Street,25
12,119,1,120,2,477795482,746,,14206,385.92817767078753,14206,A31,4,Dingens Street,35
12,,,,,507666575,7685,,14202,12.188487948222924,14202,A62,3,Niagara Square,35
12,99,25,98,24,477793058,7349,,14203,101.81211764818494,14203,A41,5,East Mohawk Street,25
12,85,1,82,2,477790642,6428,,14212,262.29474954219967,14212,A40,4,Miller Avenue,25
12,171,151,164,146,477797686,10468,,14204,80.696400167473016,14204,A41,5,Mackinaw Street,25
12,99,41,98,46,477794162,6674,,14206,123.70411472538031,14206,A41,5,Pink Street,25
12,263,163,264,162,477789157,1094,,14211,243.41041512618474,14211,A41,5,Koons Avenue,25
12,29,1,30,2,477789125,8149,,14203,88.986215370204462,14203,A41,5,Goodrich Street,25
12,99,1,98,2,513312385,10092,,14202,20.232590047262658,14202,A71,5,Hsbc Center,5
12,285,257,286,258,477792461,6619,,14212,94.504827919043336,14212,A41,5,Paderewski Drive,25
12,45,7,112,12,477793623,7667,,14202,217.50879322185926,14202,A41,5,4th Street,25
12,199,1,198,2,477790528,1048,,14212,385.45485637659164,14212,A41,5,Stone Street,25
01,19,1,,,477794064,7463,5,14202,96.90450660307981,14202,A25,2,Church Street,35
12,99,1,198,2,477795762,10768,,14210,135.92923804245544,14210,A41,5,Baltic Place,25
01,201,177,204,178,477792540,7802,5,14202,83.972638996292815,14202,A31,3,Delaware Avenue,35
12,711,701,710,700,477795217,10807,,14210,44.806433689694551,14210,A41,5,North Division Street,25
12,217,171,214,172,477795237,10853,,14210,127.81171151361866,14210,A40,5,James Street,25
12,,,,,600019638,7675,,14202,21.480089144233112,14202,A41,5,Upper Terrace,15
12,198,2,199,1,477796309,10910,,14210,180.60327858173224,14210,A41,5,Dillon Street,25
12,99,1,98,2,477794699,10941,,14206,138.6318689371744,14206,A41,5,Klaus Street,25
