OBJECTID,GEOID20,ED,name20,2011_district,2024_district,Total Population,White,Black,American Indian,Asian,Native Hawaiian,Some Other,Two or More,Hispanic
1883,3.6029E+14,FIL 18,Block 1031,FILLMORE,FILLMORE,19,9,5,2,3,0,0,0,2
1884,3.6029E+14,FIL 18,Block 1021,FILLMORE,FILLMORE,18,2,13,0,0,0,0,3,2
1921,3.6029E+14,FIL 13,Block 1022,FILLMORE,FILLMORE,12,10,1,0,0,0,0,1,1
1923,3.6029E+14,FIL 8,Block 1088,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1924,3.6029E+14,FIL 7,Block 1074,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1927,3.6029E+14,FIL 8,Block 1087,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1928,3.6029E+14,FIL 8,Block 1089,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1929,3.6029E+14,FIL 3,Block 1013,FILLMORE,FILLMORE,13,9,0,0,0,0,0,4,4
1937,3.6029E+14,FIL 19,Block 1015,FILLMORE,FILLMORE,27,16,1,0,2,0,2,6,2
1939,3.6029E+14,FIL 25,Block 5004,FILLMORE,FILLMORE,151,47,91,0,4,0,4,5,19
1941,3.6029E+14,FIL 19,Block 1021,FILLMORE,FILLMORE,49,30,11,0,0,0,7,1,8
1969,3.6029E+14,FIL 19,Block 1003,FILLMORE,FILLMORE,23,14,2,0,5,0,0,2,1
1975,3.6029E+14,FIL 3,Block 1005,FILLMORE,FILLMORE,171,127,22,0,11,0,4,7,5
1976,3.6029E+14,FIL 2,Block 3006,FILLMORE,FILLMORE,89,63,3,0,8,0,5,10,14
1999,3.6029E+14,FIL 18,Block 1025,FILLMORE,FILLMORE,36,9,23,0,1,0,1,2,3
2000,3.6029E+14,FIL 18,Block 2011,FILLMORE,FILLMORE,3,1,0,0,1,0,0,1,2
2001,3.6029E+14,FIL 18,Block 2012,FILLMORE,FILLMORE,14,7,3,0,0,0,0,4,3
2002,3.6029E+14,FIL 23,Block 1013,FILLMORE,FILLMORE,17,4,9,0,0,0,0,4,2
2003,3.6029E+14,FIL 23,Block 1025,FILLMORE,FILLMORE,79,6,45,1,25,0,2,0,5
2004,3.6029E+14,FIL 24,Block 1018,FILLMORE,FILLMORE,46,7,26,0,6,0,4,3,6
