ED,CANDIDATE,PARTY,VOTES,YEAR,RACE
ELL 026,"Blank, Void, Scattering",n/a,28,2020,Congress
ELL 026,Brian Higgins,SAM,1,2020,Congress
ELL 026,Brian Higgins,Working Families,14,2020,Congress
ELL 026,Brian Higgins,Democratic,421,2020,Congress
ELL 026,Michael P. Raleigh,Green,8,2020,Congress
ELL 026,Ricky T. Donovan Sr.,Republican,12,2020,Congress
ELL 026,"Blank, Void, Scattering",n/a,20,2021,Sheriff
ELL 026,John C. Garcia,Back the Blue/Guardian,0,2021,Sheriff
ELL 026,John C. Garcia,Republican,16,2021,Sheriff
ELL 026,Karen L. Healy-Case,Conservative,2,2021,Sheriff
ELL 026,Kimberly Beaty,Democratic,312,2021,Sheriff
ELL 026,Kimberly Beaty,Justice & Peace,3,2021,Sheriff
ELL 026,Theodore C. DiNoto,Public Service,1,2021,Sheriff
ELL 026,Ben Carlisle,Write-In,0,2021,Mayor
ELL 026,"Blank, Void, and Scattering",n/a,8,2021,Mayor
ELL 026,Byron Brown,Write-In,178,2021,Mayor
ELL 026,India B. Walton,Democratic,168,2021,Mayor
ELL 026,Jaz Miles,Write-In,0,2021,Mayor
ELL 026,William O'Dell,Write-In,0,2021,Mayor
ELL 026,"Blank, Void, Scattering",n/a,85,2021,Comptroller
ELL 026,Duane J. Whitmer,Libertarian,3,2021,Comptroller
ELL 026,Kevin R. Hardwick,Democratic,232,2021,Comptroller
ELL 026,Kevin R. Hardwick,Working Families/Integrity,6,2021,Comptroller
ELL 026,Lynne Dixon,Republican,22,2021,Comptroller
ELL 026,Lynne Dixon,Conservative,6,2021,Comptroller
ELL 026,"Blank, Void, Scattering",n/a,12,2022,Senate
ELL 026,Charles E. Schumer,Working Families,12,2022,Senate
ELL 026,Charles E. Schumer,Democratic,278,2022,Senate
ELL 026,Diane Sare,LaRouche,1,2022,Senate
ELL 026,Joe Pinion,Conservative,2,2022,Senate
ELL 026,Joe Pinion,Republican,12,2022,Senate
ELL 026,"Blank, Void, Scattering",n/a,5,2022,Governor
ELL 026,Kathy C. Hochul / Antonio Delgado,Democratic,287,2022,Governor
ELL 026,Kathy C. Hochul / Antonio Delgado,Working Families,10,2022,Governor
ELL 026,Lee Zeldin / Alison Esposito,Conservative,1,2022,Governor
ELL 026,Lee Zeldin / Alison Esposito,Republican,14,2022,Governor
ELL 026,"Blank, Void, Scattering",n/a,9,2022,Congress
ELL 026,Brian Higgins,Working Families,12,2022,Congress
ELL 026,Brian Higgins,Democratic,286,2022,Congress
ELL 026,Steven L. Sams II,Conservative,1,2022,Congress
ELL 026,Steven L. Sams II,Republican,9,2022,Congress
ELL 026,"Blank, Void, Scattering",n/a,34,2022,Comptroller
ELL 026,Paul Rodriguez,Conservative,2,2022,Comptroller
ELL 026,Paul Rodriguez,Republican,12,2022,Comptroller
ELL 026,Thomas P. DiNapoli,Working Families,11,2022,Comptroller
ELL 026,Thomas P. DiNapoli,Democratic,258,2022,Comptroller
ELL 027,YES,n/a,22,2002,Proposition
ELL 027,NO,n/a,227,2002,Proposition
ELL 027,"Blank, Void & Scattering",n/a,102,2002,Proposition
ELL 027," Blank, Void & Scattering                                                                     ",n/a,3,2005,Mayor
ELL 027,Byron W. Brown,Democrat,370,2005,Mayor
ELL 027,Byron W. Brown                                                         ,Working Families,14,2005,Mayor
ELL 027,Charles J. Flynn,Independence,10,2005,Mayor
ELL 027,Judith S. Einach                                             ,Green,3,2005,Mayor
ELL 027,Kevin J. Helfer,Republican/Strong Leadership,5,2005,Mayor
ELL 027,Kevin J. Helfer,Conservative,1,2005,Mayor
ELL 027,Barack Obama/Joe Biden,Democratic,512,2008,President
ELL 027,Barack Obama/Joe Biden,Working Families,6,2008,President
ELL 027,"Blank, Void & Scattering                                                                     ",n/a,30,2008,President
ELL 027,Bob Barr/Wayne A. Root,Libertarian,0,2008,President
ELL 027,Cynthia McKinney/Rosa Clemente,Green,0,2008,President
ELL 027,Gloria LaRiva/Eugene Puryear,Socialism & Liberation,0,2008,President
ELL 027,John McCain/Sarah Palin,Conservative,0,2008,President
ELL 027,John McCain/Sarah Palin,Independence,0,2008,President
ELL 027,John McCain/Sarah Palin,Republican,12,2008,President
ELL 027,"President, Write In",n/a,0,2008,President
ELL 027,Ralph Nader/Matt Gonzalez,Populist,1,2008,President
ELL 027,Roger Calero/Alyson Kennedy,Socialist Workers,0,2008,President
ELL 027," Blank, Void & Scattering                                                                     ",n/a,12,2009,Mayor
ELL 027,Byron W. Brown,Democratic,123,2009,Mayor
ELL 027,Byron W. Brown,Independence,5,2009,Mayor
ELL 027,Byron W. Brown                                                                 ,Working Families,2,2009,Mayor
ELL 027,Byron W. Brown,Conservative,2,2009,Mayor
ELL 027,"Blank, Void & Scattering                                                                     ",n/a,21,2011,County Executive
ELL 027,Chris Collins,Conservative,0,2011,County Executive
ELL 027,Chris Collins,Independence,0,2011,County Executive
ELL 027,Chris Collins,Republican,5,2011,County Executive
ELL 027,Mark C. Poloncarz,Democratic,172,2011,County Executive
ELL 027,Mark C. Poloncarz,Working Families,4,2011,County Executive
ELL 027,Barack Obama/Joe Biden,Democratic,237,2012,President
ELL 027,Barack Obama/Joe Biden,Working Families,1,2012,President
ELL 027,"Blank, Void & Scattering                                                                     ",n/a,2,2012,President
ELL 027,Gary Johnson/James P. Gray,Libertarian,0,2012,President
ELL 027,Jill Stein/Cheri Honkala,Green,0,2012,President
ELL 027,Mitt Romney/Paul Ryan,Conservative,1,2012,President
ELL 027,Mitt Romney/Paul Ryan,Republican,2,2012,President
ELL 027,Peta Lindsay/Yari Osorio,Socialism and Lib,0,2012,President
ELL 027,"President, Write In",n/a,0,2012,President
ELL 027,Virgil Goode/Jim Clymer,Constitution,0,2012,President
ELL 027,"Blank, Void & Scattering                                                                     ",n/a,2,2013,Mayor
ELL 027,Byron W. Brown,Conservative,1,2013,Mayor
ELL 027,Byron W. Brown,Democratic,105,2013,Mayor
ELL 027,Byron W. Brown,Independence,0,2013,Mayor
ELL 027,Byron W. Brown,Working Families,0,2013,Mayor
ELL 027,Sergio R. Rodriguez,Progressive,1,2013,Mayor
ELL 027,Sergio R. Rodriguez,Republican,2,2013,Mayor
ELL 027,"Blank, Void & Scattering                                                                     ",n/a,11,2015,County Executive
ELL 027,Eric Jones,Green,1,2015,County Executive
ELL 027,Mark C. Poloncarz,Democratic,69,2015,County Executive
ELL 027,Mark C. Poloncarz,Working Families,1,2015,County Executive
ELL 027,Mark C. Poloncarz,Women's Equality,1,2015,County Executive
ELL 027,Raymond W. Walter,Republican,1,2015,County Executive
ELL 027,Raymond W. Walter,Independence,0,2015,County Executive
ELL 027,Raymond W. Walter,Reform,0,2015,County Executive
ELL 027,Raymond W. Walter,Conservative,1,2015,County Executive
ELL 027,"Blank, Void, & Scattering",n/a,1,2016,President
ELL 027,Donald J Trump/ Michael R Pence,Republican,7,2016,President
ELL 027,Donald J Trump/ Michael R Pence,Conservative,0,2016,President
ELL 027,Gary Johnson/ Bill Weld,Independence,1,2016,President
ELL 027,Gary Johnson/ Bill Weld,Libertarian,0,2016,President
ELL 027,Hillary Clinton/ Tim Kaine,Women's Equality,0,2016,President
ELL 027,Hillary Clinton/ Tim Kaine,Working Families,2,2016,President
ELL 027,Hillary Clinton/ Tim Kaine,Democratic,219,2016,President
ELL 027,Jill Stein/ Ajamu Baraka,Green,1,2016,President
ELL 027,"President, Write In",n/a,0,2016,President
ELL 027,Anita L Howard,Conservative,1,2017,Mayor
ELL 027,"Blank, Void & Scattering                                                                     ",n/a,5,2017,Mayor
ELL 027,Byron W Brown,Democratic,103,2017,Mayor
ELL 027,Byron W Brown,Independence,0,2017,Mayor
ELL 027,Byron W Brown,Women's Equality,0,2017,Mayor
ELL 027,Byron W Brown,Working Families,2,2017,Mayor
ELL 027,Mark J F Schroeder,Reform,6,2017,Mayor
ELL 027,Taniqua Simmons,Write-In,0,2017,Mayor
ELL 027,Terrence A Robinson,Green,1,2017,Mayor
ELL 027,"Blank, Void, & Scattering",n/a,22,2018,Senate
ELL 027,Chele Chiavacci Farley,Conservative,2,2018,Senate
ELL 027,Chele Chiavacci Farley,Reform,0,2018,Senate
ELL 027,Chele Chiavacci Farley,Republican,2,2018,Senate
ELL 027,Kirsten E Gillibrand,Democratic,152,2018,Senate
ELL 027,Kirsten E Gillibrand,Independence,1,2018,Senate
ELL 027,Kirsten E Gillibrand,Women's Equality,1,2018,Senate
ELL 027,Kirsten E Gillibrand,Working Families,2,2018,Senate
ELL 027,Andrew M Cuomo/ Kathy C Hochul,Democratic,162,2018,Governor
ELL 027,Andrew M Cuomo/ Kathy C Hochul,Independence,0,2018,Governor
ELL 027,Andrew M Cuomo/ Kathy C Hochul,Working Families,2,2018,Governor
ELL 027,Andrew M Cuomo/ Kathy C Hochul,Women's Equality,0,2018,Governor
ELL 027,"Blank, Void, & Scattering",n/a,12,2018,Governor
ELL 027,Howie Hawkins/ Jia Lee,Green,1,2018,Governor
ELL 027,Larry Sharpe/ Andrew C Hollister,Libertarian,0,2018,Governor
ELL 027,Marc Molinaro/ Julie Killian,Conservative,1,2018,Governor
ELL 027,Marc Molinaro/ Julie Killian,Reform,0,2018,Governor
ELL 027,Marc Molinaro/ Julie Killian,Republican,4,2018,Governor
ELL 027,Stephanie A Miner/ Michael J Volpe,SAM,0,2018,Governor
ELL 027,"Blank, Void, & Scattering",n/a,17,2019,Legislature
ELL 027,Howard J. Johnson Jr.,Democratic,79,2019,Legislature
ELL 027,Katrinna Martin,Working Families,8,2019,Legislature
ELL 027,Tara Craig,Write-In,0,2019,Legislature
ELL 027,"Blank, Void, & Scattering",n/a,10,2019,County Executive
ELL 027,Lynne Dixon,Conservative,1,2019,County Executive
ELL 027,Lynne Dixon,Independence,1,2019,County Executive
ELL 027,Lynne Dixon,Republican,2,2019,County Executive
ELL 027,Lynne Dixon,SAM,0,2019,County Executive
ELL 027,Mark C. Poloncarz,Democratic,88,2019,County Executive
ELL 027,Mark C. Poloncarz,Working Families,2,2019,County Executive
ELL 027,Barbara Miller-Williams,Democratic,87,2019,Comptroller
ELL 027,Barbara Miller-Williams,Independence,0,2019,Comptroller
ELL 027,Barbara Miller-Williams,Working Families,3,2019,Comptroller
ELL 027,"Blank, Void, & Scattering",n/a,14,2019,Comptroller
ELL 027,Ross M. Kostecky,Republican,0,2019,Comptroller
ELL 027,"Blank, Void & Scattering                                                                     ",n/a,0,2020,President
ELL 027,Brock Pierce/Karla Ballard,Independence,0,2020,President
ELL 027,Donald J. Trump/Michael R. Pence,Conservative,0,2020,President
ELL 027,Donald J. Trump/Michael R. Pence,Republican,6,2020,President
ELL 027,Howie Hawkins/Angela Nicole Walker,Green,2,2020,President
ELL 027,Jo Jorgensen/Jeremy Cohen,Libertarian,0,2020,President
ELL 027,Joseph R. Biden/Kamala D. Harris,Democratic,231,2020,President
ELL 027,Joseph R. Biden/Kamala D. Harris,Working Families,1,2020,President
ELL 027,"President, Write in",n/a,0,2020,President
ELL 027,"Blank, Void, Scattering",n/a,16,2020,Congress
ELL 027,Brian Higgins,SAM,0,2020,Congress
ELL 027,Brian Higgins,Working Families,7,2020,Congress
ELL 027,Brian Higgins,Democratic,212,2020,Congress
ELL 027,Michael P. Raleigh,Green,1,2020,Congress
ELL 027,Ricky T. Donovan Sr.,Republican,4,2020,Congress
ELL 027,"Blank, Void, Scattering",n/a,14,2021,Sheriff
ELL 027,John C. Garcia,Back the Blue/Guardian,0,2021,Sheriff
ELL 027,John C. Garcia,Republican,5,2021,Sheriff
ELL 027,Karen L. Healy-Case,Conservative,0,2021,Sheriff
ELL 027,Kimberly Beaty,Democratic,135,2021,Sheriff
ELL 027,Kimberly Beaty,Justice & Peace,5,2021,Sheriff
ELL 027,Theodore C. DiNoto,Public Service,1,2021,Sheriff
ELL 027,Ben Carlisle,Write-In,0,2021,Mayor
ELL 027,"Blank, Void, and Scattering",n/a,2,2021,Mayor
ELL 027,Byron Brown,Write-In,80,2021,Mayor
ELL 027,India B. Walton,Democratic,78,2021,Mayor
ELL 027,Jaz Miles,Write-In,0,2021,Mayor
ELL 027,William O'Dell,Write-In,0,2021,Mayor
ELL 027,"Blank, Void, Scattering",n/a,42,2021,Comptroller
ELL 027,Duane J. Whitmer,Libertarian,0,2021,Comptroller
ELL 027,Kevin R. Hardwick,Democratic,104,2021,Comptroller
ELL 027,Kevin R. Hardwick,Working Families/Integrity,5,2021,Comptroller
ELL 027,Lynne Dixon,Republican,6,2021,Comptroller
ELL 027,Lynne Dixon,Conservative,3,2021,Comptroller
ELL 027,"Blank, Void, Scattering",n/a,10,2022,Senate
ELL 027,Charles E. Schumer,Working Families,3,2022,Senate
ELL 027,Charles E. Schumer,Democratic,131,2022,Senate
ELL 027,Diane Sare,LaRouche,1,2022,Senate
ELL 027,Joe Pinion,Conservative,1,2022,Senate
ELL 027,Joe Pinion,Republican,5,2022,Senate
ELL 027,"Blank, Void, Scattering",n/a,4,2022,Governor
ELL 027,Kathy C. Hochul / Antonio Delgado,Democratic,134,2022,Governor
ELL 027,Kathy C. Hochul / Antonio Delgado,Working Families,3,2022,Governor
ELL 027,Lee Zeldin / Alison Esposito,Conservative,1,2022,Governor
ELL 027,Lee Zeldin / Alison Esposito,Republican,9,2022,Governor
ELL 027,"Blank, Void, Scattering",n/a,6,2022,Congress
ELL 027,Brian Higgins,Working Families,6,2022,Congress
ELL 027,Brian Higgins,Democratic,135,2022,Congress
ELL 027,Steven L. Sams II,Conservative,2,2022,Congress
ELL 027,Steven L. Sams II,Republican,2,2022,Congress
ELL 027,"Blank, Void, Scattering",n/a,24,2022,Comptroller
ELL 027,Paul Rodriguez,Conservative,1,2022,Comptroller
ELL 027,Paul Rodriguez,Republican,5,2022,Comptroller
ELL 027,Thomas P. DiNapoli,Working Families,5,2022,Comptroller
ELL 027,Thomas P. DiNapoli,Democratic,116,2022,Comptroller
ELL 028,YES,n/a,8,2002,Proposition
ELL 028,NO,n/a,2,2002,Proposition
ELL 028,"Blank, Void & Scattering",n/a,1,2002,Proposition
ELL 028," Blank, Void & Scattering                                                                     ",n/a,3,2005,Mayor
ELL 028,Byron W. Brown,Democrat,36,2005,Mayor
ELL 028,Byron W. Brown                                                         ,Working Families,0,2005,Mayor
ELL 028,Charles J. Flynn,Independence,2,2005,Mayor
ELL 028,Judith S. Einach                                             ,Green,7,2005,Mayor
ELL 028,Kevin J. Helfer,Republican/Strong Leadership,12,2005,Mayor
ELL 028,Kevin J. Helfer,Conservative,3,2005,Mayor
ELL 028,Barack Obama/Joe Biden,Democratic,58,2008,President
ELL 028,Barack Obama/Joe Biden,Working Families,2,2008,President
ELL 028,"Blank, Void & Scattering                                                                     ",n/a,2,2008,President
ELL 028,Bob Barr/Wayne A. Root,Libertarian,0,2008,President
ELL 028,Cynthia McKinney/Rosa Clemente,Green,0,2008,President
ELL 028,Gloria LaRiva/Eugene Puryear,Socialism & Liberation,0,2008,President
ELL 028,John McCain/Sarah Palin,Conservative,0,2008,President
ELL 028,John McCain/Sarah Palin,Independence,1,2008,President
ELL 028,John McCain/Sarah Palin,Republican,13,2008,President
ELL 028,"President, Write In",n/a,0,2008,President
ELL 028,Ralph Nader/Matt Gonzalez,Populist,0,2008,President
ELL 028,Roger Calero/Alyson Kennedy,Socialist Workers,0,2008,President
ELL 028," Blank, Void & Scattering                                                                     ",n/a,8,2009,Mayor
ELL 028,Byron W. Brown,Democratic,8,2009,Mayor
ELL 028,Byron W. Brown,Independence,0,2009,Mayor
ELL 028,Byron W. Brown                                                                 ,Working Families,1,2009,Mayor
ELL 028,Byron W. Brown,Conservative,0,2009,Mayor
ELL 028,"Blank, Void & Scattering                                                                     ",n/a,2,2011,County Executive
ELL 028,Chris Collins,Conservative,1,2011,County Executive
ELL 028,Chris Collins,Independence,0,2011,County Executive
ELL 028,Chris Collins,Republican,10,2011,County Executive
ELL 028,Mark C. Poloncarz,Democratic,57,2011,County Executive
ELL 028,Mark C. Poloncarz,Working Families,9,2011,County Executive
ELL 028,Barack Obama/Joe Biden,Democratic,298,2012,President
ELL 028,Barack Obama/Joe Biden,Working Families,2,2012,President
ELL 028,"Blank, Void & Scattering                                                                     ",n/a,0,2012,President
ELL 028,Gary Johnson/James P. Gray,Libertarian,0,2012,President
ELL 028,Jill Stein/Cheri Honkala,Green,0,2012,President
ELL 028,Mitt Romney/Paul Ryan,Conservative,0,2012,President
ELL 028,Mitt Romney/Paul Ryan,Republican,1,2012,President
ELL 028,Peta Lindsay/Yari Osorio,Socialism and Lib,0,2012,President
ELL 028,"President, Write In",n/a,0,2012,President
ELL 028,Virgil Goode/Jim Clymer,Constitution,0,2012,President
ELL 028,"Blank, Void & Scattering                                                                     ",n/a,0,2013,Mayor
ELL 028,Byron W. Brown,Conservative,2,2013,Mayor
ELL 028,Byron W. Brown,Democratic,124,2013,Mayor
ELL 028,Byron W. Brown,Independence,1,2013,Mayor
ELL 028,Byron W. Brown,Working Families,1,2013,Mayor
ELL 028,Sergio R. Rodriguez,Progressive,2,2013,Mayor
ELL 028,Sergio R. Rodriguez,Republican,6,2013,Mayor
ELL 028,"Blank, Void & Scattering                                                                     ",n/a,8,2015,County Executive
ELL 028,Eric Jones,Green,1,2015,County Executive
ELL 028,Mark C. Poloncarz,Democratic,70,2015,County Executive
ELL 028,Mark C. Poloncarz,Working Families,1,2015,County Executive
ELL 028,Mark C. Poloncarz,Women's Equality,2,2015,County Executive
ELL 028,Raymond W. Walter,Republican,2,2015,County Executive
ELL 028,Raymond W. Walter,Independence,0,2015,County Executive
ELL 028,Raymond W. Walter,Reform,0,2015,County Executive
ELL 028,Raymond W. Walter,Conservative,0,2015,County Executive
ELL 028,"Blank, Void, & Scattering",n/a,4,2016,President
ELL 028,Donald J Trump/ Michael R Pence,Republican,2,2016,President
ELL 028,Donald J Trump/ Michael R Pence,Conservative,0,2016,President
ELL 028,Gary Johnson/ Bill Weld,Independence,1,2016,President
ELL 028,Gary Johnson/ Bill Weld,Libertarian,1,2016,President
ELL 028,Hillary Clinton/ Tim Kaine,Women's Equality,1,2016,President
ELL 028,Hillary Clinton/ Tim Kaine,Working Families,1,2016,President
ELL 028,Hillary Clinton/ Tim Kaine,Democratic,247,2016,President
ELL 028,Jill Stein/ Ajamu Baraka,Green,0,2016,President
ELL 028,"President, Write In",n/a,0,2016,President
ELL 028,Anita L Howard,Conservative,2,2017,Mayor
ELL 028,"Blank, Void & Scattering                                                                     ",n/a,5,2017,Mayor
ELL 028,Byron W Brown,Democratic,94,2017,Mayor
ELL 028,Byron W Brown,Independence,1,2017,Mayor
ELL 028,Byron W Brown,Women's Equality,1,2017,Mayor
ELL 028,Byron W Brown,Working Families,0,2017,Mayor
ELL 028,Mark J F Schroeder,Reform,10,2017,Mayor
ELL 028,Taniqua Simmons,Write-In,0,2017,Mayor
ELL 028,Terrence A Robinson,Green,3,2017,Mayor
ELL 028,"Blank, Void, & Scattering",n/a,13,2018,Senate
ELL 028,Chele Chiavacci Farley,Conservative,0,2018,Senate
ELL 028,Chele Chiavacci Farley,Reform,0,2018,Senate
ELL 028,Chele Chiavacci Farley,Republican,0,2018,Senate
ELL 028,Kirsten E Gillibrand,Democratic,155,2018,Senate
ELL 028,Kirsten E Gillibrand,Independence,0,2018,Senate
ELL 028,Kirsten E Gillibrand,Women's Equality,1,2018,Senate
ELL 028,Kirsten E Gillibrand,Working Families,1,2018,Senate
ELL 028,Andrew M Cuomo/ Kathy C Hochul,Democratic,157,2018,Governor
ELL 028,Andrew M Cuomo/ Kathy C Hochul,Independence,1,2018,Governor
ELL 028,Andrew M Cuomo/ Kathy C Hochul,Working Families,1,2018,Governor
ELL 028,Andrew M Cuomo/ Kathy C Hochul,Women's Equality,1,2018,Governor
ELL 028,"Blank, Void, & Scattering",n/a,3,2018,Governor
ELL 028,Howie Hawkins/ Jia Lee,Green,3,2018,Governor
ELL 028,Larry Sharpe/ Andrew C Hollister,Libertarian,1,2018,Governor
ELL 028,Marc Molinaro/ Julie Killian,Conservative,0,2018,Governor
ELL 028,Marc Molinaro/ Julie Killian,Reform,0,2018,Governor
ELL 028,Marc Molinaro/ Julie Killian,Republican,2,2018,Governor
ELL 028,Stephanie A Miner/ Michael J Volpe,SAM,0,2018,Governor
ELL 028,"Blank, Void, & Scattering",n/a,13,2019,Legislature
ELL 028,Howard J. Johnson Jr.,Democratic,76,2019,Legislature
ELL 028,Katrinna Martin,Working Families,11,2019,Legislature
ELL 028,Tara Craig,Write-In,0,2019,Legislature
ELL 028,"Blank, Void, & Scattering",n/a,8,2019,County Executive
ELL 028,Lynne Dixon,Conservative,2,2019,County Executive
ELL 028,Lynne Dixon,Independence,0,2019,County Executive
ELL 028,Lynne Dixon,Republican,2,2019,County Executive
ELL 028,Lynne Dixon,SAM,0,2019,County Executive
ELL 028,Mark C. Poloncarz,Democratic,82,2019,County Executive
ELL 028,Mark C. Poloncarz,Working Families,6,2019,County Executive
ELL 028,Barbara Miller-Williams,Democratic,84,2019,Comptroller
ELL 028,Barbara Miller-Williams,Independence,0,2019,Comptroller
ELL 028,Barbara Miller-Williams,Working Families,3,2019,Comptroller
ELL 028,"Blank, Void, & Scattering",n/a,11,2019,Comptroller
ELL 028,Ross M. Kostecky,Republican,2,2019,Comptroller
ELL 028,"Blank, Void & Scattering                                                                     ",n/a,3,2020,President
ELL 028,Brock Pierce/Karla Ballard,Independence,1,2020,President
ELL 028,Donald J. Trump/Michael R. Pence,Conservative,1,2020,President
ELL 028,Donald J. Trump/Michael R. Pence,Republican,3,2020,President
ELL 028,Howie Hawkins/Angela Nicole Walker,Green,0,2020,President
ELL 028,Jo Jorgensen/Jeremy Cohen,Libertarian,1,2020,President
ELL 028,Joseph R. Biden/Kamala D. Harris,Democratic,210,2020,President
ELL 028,Joseph R. Biden/Kamala D. Harris,Working Families,7,2020,President
ELL 028,"President, Write in",n/a,0,2020,President
ELL 028,"Blank, Void, Scattering",n/a,11,2020,Congress
ELL 028,Brian Higgins,SAM,0,2020,Congress
ELL 028,Brian Higgins,Working Families,7,2020,Congress
ELL 028,Brian Higgins,Democratic,206,2020,Congress
ELL 028,Michael P. Raleigh,Green,1,2020,Congress
ELL 028,Ricky T. Donovan Sr.,Republican,1,2020,Congress
ELL 028,"Blank, Void, Scattering",n/a,7,2021,Sheriff
ELL 028,John C. Garcia,Back the Blue/Guardian,0,2021,Sheriff
ELL 028,John C. Garcia,Republican,3,2021,Sheriff
ELL 028,Karen L. Healy-Case,Conservative,2,2021,Sheriff
ELL 028,Kimberly Beaty,Democratic,142,2021,Sheriff
ELL 028,Kimberly Beaty,Justice & Peace,4,2021,Sheriff
ELL 028,Theodore C. DiNoto,Public Service,1,2021,Sheriff
ELL 028,Ben Carlisle,Write-In,0,2021,Mayor
ELL 028,"Blank, Void, and Scattering",n/a,5,2021,Mayor
ELL 028,Byron Brown,Write-In,71,2021,Mayor
ELL 028,India B. Walton,Democratic,83,2021,Mayor
ELL 028,Jaz Miles,Write-In,0,2021,Mayor
ELL 028,William O'Dell,Write-In,0,2021,Mayor
ELL 028,"Blank, Void, Scattering",n/a,37,2021,Comptroller
ELL 028,Duane J. Whitmer,Libertarian,0,2021,Comptroller
ELL 028,Kevin R. Hardwick,Democratic,104,2021,Comptroller
ELL 028,Kevin R. Hardwick,Working Families/Integrity,5,2021,Comptroller
ELL 028,Lynne Dixon,Republican,9,2021,Comptroller
ELL 028,Lynne Dixon,Conservative,4,2021,Comptroller
ELL 028,"Blank, Void, Scattering",n/a,8,2022,Senate
ELL 028,Charles E. Schumer,Working Families,7,2022,Senate
ELL 028,Charles E. Schumer,Democratic,112,2022,Senate
ELL 028,Diane Sare,LaRouche,1,2022,Senate
ELL 028,Joe Pinion,Conservative,0,2022,Senate
ELL 028,Joe Pinion,Republican,3,2022,Senate
ELL 028,"Blank, Void, Scattering",n/a,4,2022,Governor
ELL 028,Kathy C. Hochul / Antonio Delgado,Democratic,119,2022,Governor
ELL 028,Kathy C. Hochul / Antonio Delgado,Working Families,5,2022,Governor
ELL 028,Lee Zeldin / Alison Esposito,Conservative,0,2022,Governor
ELL 028,Lee Zeldin / Alison Esposito,Republican,3,2022,Governor
ELL 028,"Blank, Void, Scattering",n/a,7,2022,Congress
ELL 028,Brian Higgins,Working Families,5,2022,Congress
ELL 028,Brian Higgins,Democratic,118,2022,Congress
ELL 028,Steven L. Sams II,Conservative,0,2022,Congress
ELL 028,Steven L. Sams II,Republican,1,2022,Congress
ELL 028,"Blank, Void, Scattering",n/a,17,2022,Comptroller
ELL 028,Paul Rodriguez,Conservative,1,2022,Comptroller
ELL 028,Paul Rodriguez,Republican,4,2022,Comptroller
ELL 028,Thomas P. DiNapoli,Working Families,6,2022,Comptroller
ELL 028,Thomas P. DiNapoli,Democratic,103,2022,Comptroller
ELL 029,YES,n/a,1,2002,Proposition
ELL 029,NO,n/a,5,2002,Proposition
ELL 029,"Blank, Void & Scattering",n/a,2,2002,Proposition
ELL 029," Blank, Void & Scattering                                                                     ",n/a,0,2005,Mayor
ELL 029,Byron W. Brown,Democrat,8,2005,Mayor
ELL 029,Byron W. Brown                                                         ,Working Families,0,2005,Mayor
ELL 029,Charles J. Flynn,Independence,1,2005,Mayor
ELL 029,Judith S. Einach                                             ,Green,1,2005,Mayor
ELL 029,Kevin J. Helfer,Republican/Strong Leadership,0,2005,Mayor
ELL 029,Kevin J. Helfer,Conservative,0,2005,Mayor
ELL 029,Barack Obama/Joe Biden,Democratic,24,2008,President
ELL 029,Barack Obama/Joe Biden,Working Families,1,2008,President
ELL 029,"Blank, Void & Scattering                                                                     ",n/a,0,2008,President
ELL 029,Bob Barr/Wayne A. Root,Libertarian,0,2008,President
ELL 029,Cynthia McKinney/Rosa Clemente,Green,1,2008,President
ELL 029,Gloria LaRiva/Eugene Puryear,Socialism & Liberation,0,2008,President
ELL 029,John McCain/Sarah Palin,Conservative,0,2008,President
ELL 029,John McCain/Sarah Palin,Independence,2,2008,President
ELL 029,John McCain/Sarah Palin,Republican,3,2008,President
ELL 029,"President, Write In",n/a,0,2008,President
ELL 029,Ralph Nader/Matt Gonzalez,Populist,0,2008,President
ELL 029,Roger Calero/Alyson Kennedy,Socialist Workers,0,2008,President
ELL 029," Blank, Void & Scattering                                                                     ",n/a,0,2009,Mayor
ELL 029,Byron W. Brown,Democratic,3,2009,Mayor
ELL 029,Byron W. Brown,Independence,0,2009,Mayor
ELL 029,Byron W. Brown                                                                 ,Working Families,0,2009,Mayor
ELL 029,Byron W. Brown,Conservative,0,2009,Mayor
ELL 029,"Blank, Void & Scattering                                                                     ",n/a,0,2011,County Executive
ELL 029,Chris Collins,Conservative,0,2011,County Executive
ELL 029,Chris Collins,Independence,1,2011,County Executive
ELL 029,Chris Collins,Republican,4,2011,County Executive
ELL 029,Mark C. Poloncarz,Democratic,5,2011,County Executive
ELL 029,Mark C. Poloncarz,Working Families,0,2011,County Executive
ELL 029,Barack Obama/Joe Biden,Democratic,531,2012,President
ELL 029,Barack Obama/Joe Biden,Working Families,7,2012,President
ELL 029,"Blank, Void & Scattering                                                                     ",n/a,3,2012,President
ELL 029,Gary Johnson/James P. Gray,Libertarian,0,2012,President
ELL 029,Jill Stein/Cheri Honkala,Green,0,2012,President
ELL 029,Mitt Romney/Paul Ryan,Conservative,8,2012,President
ELL 029,Mitt Romney/Paul Ryan,Republican,35,2012,President
ELL 029,Peta Lindsay/Yari Osorio,Socialism and Lib,0,2012,President
ELL 029,"President, Write In",n/a,0,2012,President
ELL 029,Virgil Goode/Jim Clymer,Constitution,0,2012,President
ELL 029,"Blank, Void & Scattering                                                                     ",n/a,3,2013,Mayor
ELL 029,Byron W. Brown,Conservative,1,2013,Mayor
ELL 029,Byron W. Brown,Democratic,180,2013,Mayor
